,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Meyers Leonard,MIA,27,7,5,2,21.7,9.0,3.6,5.7,62.5,1.3,2.0,64.3,0.6,0.9,66.7,0.4,4.4,4.9,1.0,0.7,0.7,0.9,2.9,20.3,0,0,4.4
Zach Collins,POR,21,3,2,1,28.8,9.0,3.0,6.3,47.4,1.0,2.3,42.9,2.0,2.0,100,1.3,2.7,4.0,2.0,2.0,0.0,0.7,3.7,16.8,0,0,6.3
Ivica Zubac,LAC,22,8,5,3,15.6,8.9,3.1,4.4,71.4,0.0,0.0,0.0,2.6,3.0,87.5,1.6,4.4,6.0,0.5,1.0,0.1,1.4,2.1,20.3,1,0,1.4
Dario Saric,PHX,25,7,5,2,27.0,8.9,3.4,8.6,40.0,1.3,3.9,33.3,0.7,1.1,62.5,1.6,4.9,6.4,2.1,1.6,1.4,0.3,1.9,23.4,1,0,7.6
De'Andre Hunter,ATL,21,7,3,4,28.1,8.9,3.1,8.3,37.9,0.9,3.4,25.0,1.7,2.1,80.0,0.6,4.0,4.6,1.3,1.7,0.6,0.3,2.0,17.1,0,0,1.0
Jake Layman,MIN,25,7,4,3,24.6,8.9,3.4,8.9,38.7,1.3,3.7,34.6,0.7,0.9,83.3,0.6,1.7,2.3,0.7,1.1,1.0,0.6,2.4,16.2,0,0,2.0
Tomas Satoransky,CHI,28,9,3,6,26.3,8.8,3.1,6.6,47.5,1.2,2.4,50.0,1.3,1.4,92.3,0.9,1.9,2.8,5.7,1.9,1.1,0.2,2.1,22.7,0,0,0.0
Christian Wood,DET,24,8,4,4,15.1,8.8,3.1,5.0,62.5,1.0,1.8,57.1,1.5,2.3,66.7,1.0,3.3,4.3,0.3,1.0,0.1,0.9,0.6,16.2,1,0,1.5
Nemanja Bjelica,SAC,31,8,2,6,23.9,8.8,3.4,6.6,50.9,1.8,3.6,48.3,0.3,0.3,100,1.5,3.6,5.1,2.1,1.1,1.0,0.4,2.1,21.1,0,0,-2.0
Seth Curry,DAL,29,7,5,2,19.8,8.7,2.9,6.1,46.5,1.6,3.9,40.7,1.4,1.7,83.3,0.4,1.0,1.4,1.6,0.9,0.9,0.3,1.3,15.4,0,0,0.1
Derrick Jones Jr.,MIA,22,3,2,1,16.1,8.7,3.7,5.7,64.7,0.3,1.3,25.0,1.0,1.0,100,0.7,0.7,1.3,0.0,0.3,1.0,0.0,3.0,12.9,0,0,1.7
Kyle Korver,MIL,38,7,5,2,16.5,8.6,2.9,6.1,46.5,2.4,5.0,48.6,0.4,0.7,60.0,0.4,1.3,1.7,0.1,0.9,0.3,0.1,1.0,11.3,0,0,3.3
James Johnson,MIA,32,2,1,1,14.2,8.5,3.5,6.0,58.3,1.0,2.5,40.0,0.5,1.0,50.0,0.0,2.5,2.5,1.5,0.5,1.5,0.0,0.5,17.8,0,0,8.5
Furkan Korkmaz,PHI,22,7,5,2,19.8,8.4,2.7,6.3,43.2,1.9,4.4,41.9,1.1,1.4,80.0,0.1,2.1,2.3,0.9,0.7,0.1,0.4,1.6,13.5,0,0,0.3
Terrence Ross,ORL,28,7,2,5,22.2,8.3,2.9,10.1,28.2,1.1,6.0,19.0,1.4,1.6,90.9,0.6,2.7,3.3,1.4,1.6,0.9,0.3,2.0,16.2,0,0,-2.7
Allonzo Trier,NYK,23,5,0,5,15.8,8.0,2.0,5.0,40.0,1.2,3.2,37.5,2.8,3.8,73.7,0.2,1.6,1.8,1.4,1.8,0.2,0.4,2.2,12.3,0,0,-7.2
Dorian Finney-Smith,DAL,26,7,5,2,27.0,8.0,2.7,6.1,44.2,1.0,3.1,31.8,1.6,2.4,64.7,2.6,3.9,6.4,0.6,1.3,0.9,0.1,2.0,18.3,0,0,3.4
Elfrid Payton,NYK,25,4,1,3,25.4,8.0,2.8,7.3,37.9,1.3,2.0,62.5,1.3,1.5,83.3,0.8,2.3,3.0,3.8,1.8,2.5,0.0,2.0,23.0,0,0,0.8
Gorgui Dieng,MIN,29,4,2,2,12.6,8.0,3.0,5.8,52.2,0.5,2.0,25.0,1.5,1.8,85.7,1.3,2.8,4.0,1.3,0.8,0.8,1.0,0.8,19.2,0,0,-4.0
