,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Cory Joseph,SAC,28,8,2,6,15.8,6.1,2.4,5.6,42.2,0.3,1.4,18.2,1.1,1.1,100,0.9,1.0,1.9,2.0,1.4,0.4,0.3,1.6,11.9,0,0,-4.5
Kris Dunn,CHI,25,9,3,6,20.3,6.1,2.8,6.1,45.5,0.1,1.3,8.3,0.4,0.8,57.1,0.6,1.9,2.4,2.7,0.8,2.2,0.2,3.1,19.6,0,0,-2.4
Aaron Holiday,IND,23,6,4,2,16.7,6.0,2.2,6.5,33.3,1.3,2.7,50.0,0.3,0.5,66.7,0.0,1.7,1.7,2.0,0.7,0.7,0.2,1.7,12.8,0,0,1.3
E'Twaun Moore,NOP,30,2,0,2,13.5,6.0,2.0,5.5,36.4,1.0,2.5,40.0,1.0,1.5,66.7,0.5,1.5,2.0,1.5,0.0,0.0,0.0,0.5,10.7,0,0,3.5
Jacob Evans,GSW,22,3,1,2,14.4,6.0,1.7,4.0,41.7,1.3,2.7,50.0,1.3,1.3,100,0.3,1.3,1.7,0.7,0.3,0.0,0.0,0.7,8.7,0,0,-4.0
Jeff Green,UTA,33,8,5,3,19.0,6.0,1.9,5.5,34.1,1.4,3.3,42.3,0.9,1.5,58.3,0.0,2.1,2.1,0.5,1.0,0.6,0.4,1.5,11.3,0,0,-4.0
Ben McLemore,HOU,26,8,5,3,15.1,5.9,1.8,4.8,36.8,1.5,4.4,34.3,0.9,1.1,77.8,0.0,0.3,0.3,0.8,0.4,0.4,0.0,1.4,8.1,0,0,2.9
Royce O'Neale,UTA,26,8,5,3,27.6,5.9,2.4,4.4,54.3,0.9,2.0,43.8,0.3,0.3,100,0.1,3.8,3.9,1.9,1.1,0.6,0.5,2.9,15.6,0,0,-1.0
Carsen Edwards,BOS,21,5,4,1,13.3,5.8,2.0,5.6,35.7,1.0,3.4,29.4,0.8,1.2,66.7,0.4,1.0,1.4,1.0,0.0,0.4,0.2,1.0,10.8,0,0,-0.6
Jordan Bell,MIN,24,4,2,2,10.7,5.8,2.3,3.3,69.2,0.0,0.3,0.0,1.3,1.3,100,1.3,3.5,4.8,1.3,2.3,0.0,0.3,1.0,11.8,0,0,-4.8
Bruno Fernando,ATL,21,7,3,4,12.9,5.7,2.4,3.9,63.0,0.3,0.9,33.3,0.6,1.3,44.4,1.3,2.0,3.3,1.3,0.9,0.3,0.4,1.6,12.9,0,0,0.7
Darius Bazley,OKC,19,7,3,4,18.2,5.7,2.0,4.6,43.8,1.0,2.3,43.8,0.7,0.9,83.3,0.3,3.9,4.1,0.6,1.3,0.4,0.3,1.0,12.4,0,0,-1.4
Jevon Carter,PHX,24,7,5,2,19.0,5.7,1.9,5.0,37.1,1.4,3.4,41.7,0.6,0.6,100,0.3,1.9,2.1,2.4,1.9,1.1,0.1,2.3,13.9,0,0,2.0
Jordan McRae,WAS,28,2,0,2,12.6,5.5,2.0,4.5,44.4,0.5,1.5,33.3,1.0,1.0,100,0.0,3.0,3.0,1.5,0.5,0.0,0.0,1.0,10.9,0,0,-3.5
Tyrone Wallace,ATL,25,4,1,3,14.1,5.5,2.3,4.5,50.0,0.0,1.0,0.0,1.0,2.0,50.0,0.5,1.8,2.3,1.3,1.5,0.5,0.0,2.0,10.1,0,0,1.3
JaVale McGee,LAL,31,7,6,1,16.3,5.4,2.6,3.6,72.0,0.0,0.0,0.0,0.3,0.7,40.0,1.6,2.7,4.3,0.7,1.0,0.3,1.1,1.9,14.9,0,0,-0.6
Boban Marjanovic,DAL,31,3,2,1,9.2,5.3,2.7,5.7,47.1,0.0,0.0,0.0,0.0,0.3,0.0,1.7,3.3,5.0,0.3,1.0,0.0,0.0,1.7,10.8,0,0,11.0
Brandon Knight,CLE,27,3,0,3,12.7,5.3,1.7,5.0,33.3,1.7,4.3,38.5,0.3,0.7,50.0,0.0,1.0,1.0,2.3,1.0,0.3,0.0,2.0,10.0,0,0,-6.3
Chris Clemons,HOU,22,3,2,1,9.3,5.3,1.7,4.0,41.7,1.3,3.7,36.4,0.7,0.7,100,0.7,0.3,1.0,0.3,0.7,0.0,0.3,1.7,7.4,0,0,-4.3
Kevin Porter Jr.,CLE,19,6,2,4,18.0,5.3,1.7,5.5,30.3,0.5,2.0,25.0,1.5,1.5,100,0.5,1.8,2.3,1.3,1.3,0.2,0.7,2.7,11.3,0,0,-5.2
James Ennis III,PHI,29,7,5,2,14.5,5.3,1.7,3.6,48.0,0.3,1.0,28.6,1.6,2.0,78.6,1.6,3.0,4.6,0.6,1.0,0.4,0.1,2.0,12.3,0,0,1.1
Pat Connaughton,MIL,26,7,5,2,16.9,5.3,2.0,5.4,36.8,1.1,3.7,30.8,0.1,0.1,100,0.1,2.7,2.9,1.6,0.1,0.1,0.4,1.3,12.6,0,0,-1.7
Dewayne Dedmon,SAC,30,8,2,6,17.9,5.3,2.0,5.6,35.6,0.6,2.9,21.7,0.6,0.6,100,2.0,3.3,5.3,0.6,2.1,0.4,0.8,3.0,13.7,0,0,-7.5
Justin Holiday,IND,30,8,4,4,22.2,5.3,2.0,6.1,32.7,1.3,4.0,31.3,0.0,0.3,0.0,0.4,3.3,3.6,1.4,0.6,0.8,0.6,2.1,15.2,0,0,-1.4
Cameron Johnson,PHX,23,5,4,1,12.5,5.2,2.0,4.4,45.5,1.0,3.0,33.3,0.2,0.4,50.0,0.2,1.6,1.8,0.2,0.6,0.4,0.0,2.0,8.3,0,0,-3.2
Mo Bamba,ORL,21,6,2,4,13.2,5.2,2.2,5.5,39.4,0.7,2.0,33.3,0.2,0.7,25.0,1.0,4.0,5.0,0.3,0.8,0.2,0.7,2.3,13.3,0,0,1.0
Kenrich Williams,NOP,24,7,1,6,18.2,5.1,1.7,4.1,41.4,1.0,2.6,38.9,0.7,1.3,55.6,1.4,2.7,4.1,1.4,0.4,1.0,0.7,2.4,17.0,0,0,1.1
Vince Carter,ATL,42,7,3,4,14.3,5.1,2.0,5.4,36.8,0.6,3.4,16.7,0.6,0.6,100,0.0,2.0,2.0,0.6,0.4,0.6,0.0,1.0,9.7,0,0,5.4
Wayne Ellington,NYK,31,7,1,6,18.4,5.1,1.9,6.1,30.2,1.4,5.4,26.3,0.0,0.1,0.0,0.0,1.9,1.9,1.3,0.9,0.3,0.1,1.1,9.7,0,0,-1.0
Daniel Theis,BOS,27,5,4,1,21.9,5.0,1.8,5.2,34.6,0.2,1.2,16.7,1.2,1.8,66.7,1.2,5.4,6.6,0.6,0.6,0.0,2.6,2.8,21.0,0,0,3.6
Jordan McLaughlin,MIN,23,1,0,1,21.7,5.0,2.0,7.0,28.6,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0,0,-9.0
Marquese Chriss,GSW,22,7,2,5,14.3,5.0,1.6,3.6,44.0,0.1,0.4,33.3,1.7,2.0,85.7,1.4,3.0,4.4,1.7,1.4,0.9,0.4,2.1,15.3,0,0,-4.6
Maurice Harkless,LAC,26,8,5,3,20.1,5.0,2.1,4.4,48.6,0.4,1.3,30.0,0.4,0.8,50.0,0.6,2.4,3.0,0.8,1.0,1.4,0.5,3.9,14.4,0,0,-0.8
Michael Kidd-Gilchrist,CHA,26,1,0,1,10.1,5.0,2.0,7.0,28.6,1.0,1.0,100,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,8.8,0,0,-1.0
Noah Vonleh,MIN,24,7,4,3,14.5,5.0,1.9,3.7,50.0,0.1,1.1,12.5,1.1,1.3,88.9,1.0,3.1,4.1,1.1,0.6,0.6,0.3,1.3,13.7,0,0,2.3
Reggie Jackson,DET,29,2,1,1,17.9,5.0,2.0,5.5,36.4,0.5,2.5,20.0,0.5,0.5,100,0.5,2.0,2.5,4.0,0.5,0.0,0.0,1.0,13.5,0,0,0.5
Troy Daniels,LAL,28,7,6,1,15.3,5.0,1.7,5.6,30.8,1.1,4.3,26.7,0.4,0.4,100,0.1,1.0,1.1,0.9,0.4,0.4,0.0,0.4,8.5,0,0,-1.3
Tony Bradley,UTA,21,5,3,2,7.5,4.8,2.0,2.6,76.9,0.0,0.0,0.0,0.8,1.2,66.7,1.2,1.2,2.4,0.0,0.4,0.2,0.4,1.2,9.1,0,0,-2.6
Al-Farouq Aminu,ORL,29,8,2,6,22.9,4.8,1.5,4.6,32.4,0.6,1.6,38.5,1.1,1.6,69.2,1.5,4.4,5.9,1.0,1.1,1.0,0.6,2.5,17.1,0,0,-2.0
Matt Thomas,TOR,25,4,3,1,10.2,4.8,1.5,2.3,66.7,1.3,2.0,62.5,0.5,0.5,100,0.0,1.0,1.0,0.0,0.3,0.5,0.0,0.5,7.2,0,0,0.3
Isaac Bonga,WAS,19,7,2,5,21.3,4.7,1.9,4.1,44.8,0.1,0.7,20.0,0.9,1.3,66.7,1.0,2.9,3.9,1.7,0.9,1.0,0.1,3.0,14.5,0,0,-0.7
Mikal Bridges,PHX,23,7,5,2,19.6,4.7,1.9,3.4,54.2,0.1,1.0,14.3,0.9,1.1,75.0,0.1,3.0,3.1,1.0,0.7,1.7,0.0,1.7,14.4,0,0,3.0
Patrick Patterson,LAC,30,8,5,3,21.7,4.6,1.6,4.8,34.2,1.3,3.5,35.7,0.1,0.3,50.0,0.9,3.4,4.3,1.3,0.6,0.3,0.1,1.5,12.1,0,0,4.1
Michael Carter-Williams,ORL,28,5,2,3,14.8,4.6,1.6,4.4,36.4,0.4,1.2,33.3,1.0,1.0,100,1.6,2.4,4.0,1.2,0.8,1.4,0.8,1.4,17.0,0,0,-2.4
Robert Williams III,BOS,22,5,4,1,15.1,4.6,2.2,3.2,68.8,0.0,0.0,0.0,0.2,0.4,50.0,1.4,3.4,4.8,2.2,0.6,1.2,1.2,3.2,20.3,0,0,4.2
Svi Mykhailiuk,DET,22,4,2,2,16.6,4.5,1.5,3.8,40.0,1.5,3.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,1.3,0.0,0.3,0.3,7.5,0,0,3.3
Jakob Poeltl,SAS,24,7,4,3,15.3,4.4,1.7,3.1,54.5,0.0,0.0,0.0,1.0,1.6,63.6,2.0,2.4,4.4,1.1,0.9,0.4,0.9,2.0,14.5,0,0,5.3
Marco Belinelli,SAS,33,7,4,3,16.3,4.4,1.6,5.7,27.5,0.6,3.1,18.2,0.7,1.0,71.4,0.0,1.3,1.3,1.1,0.7,0.3,0.0,0.9,7.8,0,0,0.4
Marko Guduric,MEM,24,7,2,5,16.5,4.4,1.9,5.1,36.1,0.3,2.1,13.3,0.4,0.4,100,0.7,2.3,3.0,1.7,1.6,0.1,0.1,0.9,9.9,0,0,-3.1
Admiral Schofield,WAS,22,5,2,3,10.3,4.4,1.4,2.0,70.0,0.8,1.4,57.1,0.8,0.8,100,0.4,1.2,1.6,0.2,0.0,0.0,0.0,0.6,6.6,0,0,1.6
Frank Ntilikina,NYK,21,7,1,6,20.9,4.3,1.9,4.9,38.2,0.6,2.0,28.6,0.0,0.3,0.0,0.4,1.3,1.7,2.1,1.1,0.9,0.6,2.0,12.7,0,0,-5.1
Nickeil Alexander-Walker,NOP,21,7,1,6,12.5,4.3,1.6,6.6,23.9,0.7,3.3,21.7,0.4,0.6,75.0,0.3,2.0,2.3,2.9,0.6,0.4,0.0,1.6,12.0,0,0,2.0
Luke Kornet,CHI,24,9,3,6,12.3,4.2,1.6,4.4,35.0,0.6,2.3,23.8,0.6,0.6,100,0.6,1.4,2.0,0.7,0.3,0.1,0.8,1.1,10.0,0,0,-1.8
Tim Frazier,DET,29,6,2,4,15.5,4.2,1.3,5.2,25.8,0.5,1.7,30.0,1.0,1.3,75.0,0.3,0.8,1.2,3.3,1.0,0.8,0.0,2.3,12.1,0,0,-5.2
Robin Lopez,MIL,31,8,6,2,15.2,4.1,1.6,3.8,43.3,0.4,2.0,18.8,0.5,1.1,44.4,0.4,2.0,2.4,0.8,0.9,0.3,0.6,1.8,9.9,0,0,3.4
T.J. McConnell,IND,27,8,4,4,15.2,4.1,1.9,4.9,38.5,0.0,0.1,0.0,0.4,0.4,100,0.6,1.9,2.5,3.6,1.3,0.6,0.1,1.5,13.6,0,0,0.5
Alex Len,ATL,26,7,3,4,17.1,4.0,1.4,4.7,30.3,0.3,2.1,13.3,0.9,1.0,85.7,1.1,3.3,4.4,1.1,1.1,0.4,1.3,2.0,15.0,0,0,-6.0
Amile Jefferson,ORL,26,1,0,1,5.6,4.0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,7.2,0,0,-2.0
Evan Turner,ATL,31,3,2,1,11.4,4.0,1.3,2.3,57.1,0.0,0.3,0.0,1.3,1.7,80.0,0.0,1.0,1.0,2.3,0.7,1.0,0.0,0.7,11.0,0,0,-1.7
Josh Magette,ORL,29,1,0,1,5.6,4.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,9.7,0,0,-2.0
Patrick McCaw,TOR,24,2,2,0,20.0,4.0,1.5,2.5,60.0,0.5,1.5,33.3,0.5,1.0,50.0,1.0,2.0,3.0,1.5,1.5,1.5,0.0,1.5,12.9,0,0,-5.5
Sterling Brown,MIL,24,5,4,1,8.8,4.0,1.4,2.4,58.3,0.8,1.4,57.1,0.4,0.6,66.7,0.6,2.8,3.4,0.4,0.6,0.0,0.0,0.8,8.1,0,0,5.4
TJ Leaf,IND,22,6,2,4,12.9,4.0,1.7,4.8,34.5,0.3,1.0,33.3,0.3,0.3,100,1.8,2.8,4.7,0.7,0.8,0.5,0.2,2.2,11.8,1,0,-0.3
Tacko Fall,BOS,23,1,1,0,3.6,4.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,6.6,0,0,-2.0
Trevor Ariza,SAC,34,8,2,6,23.0,4.0,1.3,4.0,31.3,1.0,3.0,33.3,0.5,0.5,100,0.5,3.8,4.3,1.1,0.4,0.6,0.0,1.6,12.3,0,0,-5.5
Ryan Arcidiacono,CHI,25,9,3,6,14.2,3.9,1.1,2.4,45.5,0.8,1.4,53.8,0.9,1.0,88.9,0.4,1.1,1.6,1.4,0.1,0.4,0.1,1.6,9.5,0,0,-2.3
Matisse Thybulle,PHI,22,7,5,2,17.3,3.9,1.1,4.7,24.2,0.7,3.0,23.8,0.9,1.4,60.0,0.3,0.9,1.1,1.3,1.9,2.0,1.0,3.1,14.3,0,0,-4.1
Alex Caruso,LAL,25,6,6,0,17.6,3.8,1.5,4.3,34.6,0.5,1.8,27.3,0.3,0.5,66.7,0.2,1.5,1.7,1.5,1.8,1.5,0.5,1.2,12.3,0,0,2.5
Grant Williams,BOS,20,6,5,1,16.8,3.8,1.3,4.0,33.3,0.0,1.5,0.0,1.2,1.5,77.8,1.2,1.5,2.7,1.0,0.7,0.7,0.5,1.7,11.4,0,0,2.3
Kyle O'Quinn,PHI,29,6,5,1,9.9,3.8,1.5,3.3,45.0,0.5,1.5,33.3,0.3,0.8,40.0,1.7,2.2,3.8,0.8,0.7,0.2,0.5,1.2,11.0,0,0,-5.8
Trey Lyles,SAS,24,7,4,3,20.2,3.7,1.6,3.4,45.8,0.1,1.3,11.1,0.4,0.9,50.0,2.0,6.3,8.3,1.6,0.6,0.1,0.1,1.3,16.3,0,0,0.1
Bruno Caboclo,MEM,24,5,1,4,11.2,3.6,1.6,4.4,36.4,0.4,2.0,20.0,0.0,0.0,0.0,1.0,1.6,2.6,0.6,0.4,0.6,1.2,1.2,12.6,0,0,-3.8
Georges Niang,UTA,26,7,5,2,9.8,3.6,1.1,2.3,50.0,0.6,1.6,36.4,0.7,0.9,83.3,0.0,1.3,1.3,0.4,0.6,0.0,0.0,1.7,5.2,0,0,-5.3
Raul Neto,PHI,27,6,4,2,9.7,3.5,1.7,3.3,50.0,0.2,0.3,50.0,0.0,0.0,0.0,0.2,1.2,1.3,1.7,1.2,0.7,0.0,0.3,8.4,0,0,3.2
Chris Silva,MIA,23,7,5,2,8.6,3.4,1.3,1.9,69.2,0.0,0.0,0.0,0.9,0.9,100,2.0,1.0,3.0,0.6,1.1,0.4,1.1,2.3,11.5,0,0,1.1
Damian Jones,ATL,24,6,2,4,12.2,3.3,1.3,1.8,72.7,0.2,0.2,100,0.5,0.7,75.0,0.5,1.7,2.2,0.3,0.2,0.5,0.5,2.7,9.3,0,0,-0.2
Torrey Craig,DEN,28,7,5,2,19.3,3.3,1.3,4.1,31.0,0.4,2.1,20.0,0.3,0.6,50.0,1.1,3.1,4.3,1.3,0.7,0.4,1.1,2.7,14.4,0,0,-4.0
Anthony Tolliver,POR,34,7,3,4,18.1,3.1,0.9,3.4,25.0,0.7,2.7,26.3,0.7,0.9,83.3,0.6,2.9,3.4,1.0,0.6,0.3,0.4,1.0,10.3,0,0,-5.9
Terrance Ferguson,OKC,21,7,3,4,22.4,3.1,1.1,2.7,42.1,0.6,1.7,33.3,0.3,0.3,100,0.6,1.3,1.9,1.0,0.7,0.4,0.3,3.0,8.3,0,0,-0.4
Abdel Nader,OKC,26,4,2,2,10.4,3.0,1.0,2.8,36.4,0.8,2.0,37.5,0.3,0.5,50.0,0.3,1.5,1.8,0.3,1.3,0.0,0.0,1.0,4.2,0,0,-5.0
Chris Chiozza,WAS,23,2,1,1,17.4,3.0,1.0,4.5,22.2,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,3.5,1.5,1.0,1.0,3.0,15.2,0,0,1.0
Courtney Lee,DAL,34,2,2,0,10.9,3.0,1.5,3.5,42.9,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,3.6,0,0,-6.5
DeMarre Carroll,SAS,33,2,1,1,10.9,3.0,1.0,2.0,50.0,0.0,0.5,0.0,1.0,1.0,100,0.5,1.0,1.5,1.5,0.5,0.0,0.5,2.0,8.1,0,0,6.5
Denzel Valentine,CHI,25,1,0,1,4.6,3.0,1.0,4.0,25.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2,0,0,-2.0
John Henson,CLE,28,1,1,0,8.3,3.0,1.0,2.0,50.0,0.0,1.0,0.0,1.0,6.0,16.7,2.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,17.6,0,0,-5.0
Kevon Looney,GSW,23,1,0,1,10.5,3.0,1.0,4.0,25.0,1.0,1.0,100,0.0,0.0,0.0,5.0,4.0,9.0,1.0,1.0,0.0,0.0,3.0,14.3,0,0,-4.0
Ryan Broekhoff,DAL,29,1,1,0,1.6,3.0,1.0,1.0,100,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.5,0,0,6.0
Willy Hernangomez,CHA,25,2,0,2,11.0,3.0,1.5,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.5,0.5,0.5,0.5,0.5,9.9,0,0,-4.5
Thon Maker,DET,22,9,4,5,13.8,2.9,1.0,2.4,40.9,0.2,0.8,28.6,0.7,1.2,54.5,0.4,1.8,2.2,0.4,0.6,0.3,0.7,1.7,8.7,0,0,-2.1
Jerome Robinson,LAC,22,5,2,3,7.7,2.8,1.2,3.2,37.5,0.4,1.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,1.4,0.2,0.0,0.4,4.4,0,0,-1.0
Matthew Dellavedova,CLE,29,5,2,3,16.8,2.8,1.2,4.0,30.0,0.0,2.4,0.0,0.4,0.6,66.7,0.4,1.0,1.4,2.4,1.0,0.6,0.0,1.6,8.9,0,0,-1.0
Brad Wanamaker,BOS,30,6,5,1,10.1,2.7,1.0,2.3,42.9,0.0,0.3,0.0,0.7,0.8,80.0,0.2,1.3,1.5,1.5,0.8,0.5,0.2,1.3,7.9,0,0,-1.3
Taj Gibson,NYK,34,6,1,5,11.9,2.7,1.2,2.8,41.2,0.0,0.5,0.0,0.3,0.3,100,0.5,1.8,2.3,1.2,0.7,0.2,0.2,1.3,7.6,0,0,-2.5
Ryan Anderson,HOU,31,2,1,1,7.0,2.5,1.0,3.5,28.6,0.5,2.5,20.0,0.0,0.0,0.0,0.0,3.5,3.5,1.0,0.5,0.5,0.0,0.5,9.2,0,0,3.5
Stanley Johnson,TOR,23,2,1,1,4.9,2.5,1.0,2.0,50.0,0.5,1.5,33.3,0.0,0.0,0.0,0.5,1.5,2.0,0.0,2.0,0.5,0.0,2.0,4.4,0,0,-4.5
Yogi Ferrell,SAC,26,5,1,4,5.1,2.4,0.8,2.0,40.0,0.2,0.8,25.0,0.6,0.8,75.0,0.0,0.6,0.6,0.6,0.2,0.2,0.2,0.4,5.0,0,0,1.4
Elie Okobo,PHX,22,3,3,0,3.1,2.3,1.0,1.7,60.0,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.0,0.0,0.0,0.3,4.1,0,0,-4.7
Justin James,SAC,22,3,1,2,4.0,2.3,1.0,2.3,42.9,0.0,0.7,0.0,0.3,1.3,25.0,0.0,0.7,0.7,0.3,0.0,0.3,0.3,0.0,5.6,0,0,2.7
Rodions Kurucs,BKN,21,7,3,4,11.8,2.3,0.9,2.4,35.3,0.3,0.4,66.7,0.3,0.9,33.3,0.7,2.0,2.7,0.1,1.3,0.4,0.0,2.0,5.8,0,0,-2.7
Wenyen Gabriel,SAC,22,5,1,4,6.8,2.2,0.6,2.4,25.0,0.2,1.2,16.7,0.8,1.4,57.1,0.6,0.6,1.2,0.6,0.6,0.2,0.2,0.8,5.1,0,0,1.6
Mike Muscala,OKC,28,6,3,3,12.9,2.2,0.7,4.2,16.0,0.2,3.2,5.3,0.7,0.7,100,0.3,2.2,2.5,0.8,0.3,0.2,0.5,2.3,8.1,0,0,-1.2
Alize Johnson,IND,23,1,1,0,8.1,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.2,0,0,-5.0
Caleb Martin,CHA,24,2,0,2,9.4,2.0,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1.5,1.5,1.5,1.0,0.5,1.0,1.0,9.6,0,0,-4.5
Charles Brown Jr.,ATL,22,1,0,1,3.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.2,0,0,6.0
Cheick Diallo,PHX,23,3,2,1,2.1,2.0,0.7,0.7,100,0.0,0.0,0.0,0.7,0.7,100,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7,1.3,0,0,-1.7
David Nwaba,BKN,26,4,1,3,12.8,2.0,0.8,1.3,60.0,0.3,0.5,50.0,0.3,1.0,25.0,0.5,2.3,2.8,0.3,1.0,0.3,0.3,1.5,6.2,0,0,-3.8
Ignas Brazdeikis,NYK,20,2,0,2,4.0,2.0,0.5,2.0,25.0,0.0,0.5,0.0,1.0,1.0,100,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,2.3,0,0,1.0
Jalen McDaniels,CHA,21,1,0,1,2.7,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.2,0,0,0.0
Jonah Bolden,PHI,23,1,1,0,2.3,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0,0,-1.0
Melvin Frazier Jr.,ORL,23,1,0,1,5.6,2.0,1.0,5.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.2,0,0,-2.0
Shaquille Harrison,CHI,26,5,2,3,4.3,2.0,0.6,2.0,30.0,0.0,0.2,0.0,0.8,1.2,66.7,0.0,1.4,1.4,0.4,0.0,0.0,0.2,0.8,4.9,0,0,-4.0
Terence Davis,TOR,22,7,5,2,7.7,2.0,0.6,1.9,30.8,0.3,0.9,33.3,0.6,0.6,100,0.4,1.4,1.9,0.7,0.3,0.4,0.1,1.7,6.7,0,0,-0.4
Thanasis Antetokounmpo,MIL,27,1,1,0,6.5,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.9,0,0,4.0
Vincent Poirier,BOS,26,2,2,0,6.2,2.0,1.0,1.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,1.5,2.1,0,0,1.5
Wes Iwundu,ORL,24,2,0,2,9.8,2.0,0.5,4.0,12.5,0.0,2.0,0.0,1.0,2.0,50.0,0.5,2.0,2.5,0.0,1.0,0.0,0.0,0.5,4.0,0,0,-11.5
Thabo Sefolosha,HOU,35,7,5,2,11.4,1.9,0.7,2.6,27.8,0.4,1.6,27.3,0.0,0.0,0.0,1.1,2.1,3.3,1.4,0.6,0.3,0.4,1.0,9.5,0,0,-2.0
Damyean Dotson,NYK,25,4,0,4,6.2,1.8,0.5,1.0,50.0,0.3,0.5,50.0,0.5,0.8,66.7,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.3,2.6,0,0,3.5
Tyson Chandler,HOU,37,8,5,3,6.4,1.8,0.9,1.0,87.5,0.0,0.0,0.0,0.0,0.1,0.0,0.6,1.5,2.1,0.3,0.1,0.4,0.1,1.1,6.1,0,0,0.8
D.J. Wilson,MIL,23,3,3,0,4.8,1.7,0.7,2.3,28.6,0.3,1.7,20.0,0.0,0.0,0.0,0.0,1.3,1.3,0.7,0.3,0.0,0.0,0.3,3.9,0,0,0.3
Ed Davis,UTA,30,6,4,2,12.1,1.7,0.7,1.7,40.0,0.0,0.0,0.0,0.3,0.7,50.0,1.5,3.7,5.2,0.2,0.8,0.2,0.5,2.3,9.3,0,0,0.2
Justin Robinson,WAS,22,3,1,2,3.9,1.7,0.7,1.7,40.0,0.3,0.3,100,0.0,0.0,0.0,0.3,0.7,1.0,0.7,0.7,0.0,0.0,0.0,3.2,0,0,4.3
Deonte Burton,OKC,25,4,2,2,5.2,1.5,0.5,1.3,40.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.3,0.0,0.8,3.0,0,0,-3.8
Johnathan Motley,LAC,24,2,1,1,2.2,1.5,0.5,1.5,33.3,0.5,0.5,100,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.5,3.2,0,0,-1.5
Cody Martin,CHA,24,6,3,3,10.9,1.3,0.3,1.3,25.0,0.0,0.5,0.0,0.7,1.0,66.7,0.5,2.3,2.8,0.7,0.2,0.7,0.2,0.8,8.1,0,0,3.8
Khem Birch,ORL,27,3,0,3,13.8,1.3,0.3,1.7,20.0,0.0,0.3,0.0,0.7,2.7,25.0,1.0,2.0,3.0,0.3,0.0,0.3,0.0,1.0,6.4,0,0,-11.3
Tyler Cook,CLE,22,3,1,2,1.7,1.3,0.7,1.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,1.0,0.0,0.0,0.3,0.0,0.0,3.5,0,0,0.0
Jared Dudley,LAL,34,5,4,1,6.7,1.2,0.4,0.6,66.7,0.4,0.4,100,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.0,0.2,0.0,1.0,2.6,0,0,-1.4
